                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.634,                 4.5854,                 2.0347,                0.00675,                0.94872,                0.08638,                0.05563,                0.54327,                 3.9732,                 1.1928,                  7e-05,                  7e-05,                  7e-05
                      2,                0.86322,                 3.8806,                 1.4136,                0.00562,                0.94872,                0.17627,                0.11724,                0.50404,                 3.9637,                 1.1935,             0.00013515,             0.00013515,             0.00013515
                      3,                0.75359,                 3.5408,                 1.3078,                0.00521,                0.94872,                0.22055,                0.15777,                0.55214,                 3.9307,                  1.231,             0.00018446,             0.00018446,             0.00018446
                      4,                0.67902,                 3.2498,                  1.285,                0.00474,                 0.9359,                0.25926,                0.18559,                0.58697,                 3.8168,                 1.2522,             0.00021793,             0.00021793,             0.00021793
                      5,                0.62784,                 3.0316,                 1.2693,                0.00478,                0.92094,                0.25134,                0.17754,                0.70363,                 3.6939,                 1.3875,             0.00023556,             0.00023556,             0.00023556
                      6,                0.56248,                 2.9413,                 1.1922,                0.00559,                0.94872,                0.22852,                0.17151,                0.64848,                 3.7816,                 1.2454,             0.00023735,             0.00023735,             0.00023735
                      7,                0.58192,                 2.7291,                  1.178,                0.00559,                0.92094,                0.29781,                0.21336,                0.70827,                  3.706,                 1.2901,              0.0002233,              0.0002233,              0.0002233
                      8,                0.61228,                  2.667,                 1.2306,                0.15524,                0.59815,                0.31584,                0.23605,                0.68922,                 3.4903,                 1.2611,             0.00019341,             0.00019341,             0.00019341
                      9,                0.55633,                 2.6228,                 1.1862,                0.62766,                 0.1078,                0.29742,                0.22013,                0.59563,                 3.4654,                 1.1781,             0.00014768,             0.00014768,             0.00014768
                     10,                0.54922,                  2.481,                 1.1908,                0.51258,                 0.2094,                0.31706,                0.24644,                0.57603,                 3.3415,                 1.1705,              8.611e-05,              8.611e-05,              8.611e-05
