                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.37523,                 1.0751,                0.99271,                0.80036,                 0.6524,                0.79215,                0.60616,                0.77103,                 1.6185,                  1.343,                  7e-05,                  7e-05,                  7e-05
                      2,                0.41778,                 1.0519,                 1.0089,                  0.814,                0.69164,                0.81081,                 0.6317,                0.68252,                  1.393,                 1.2804,             0.00013515,             0.00013515,             0.00013515
                      3,                0.37626,                  1.053,                 1.0028,                 0.7615,                0.73623,                0.83467,                0.65106,                 0.7323,                 1.3945,                 1.3256,             0.00018446,             0.00018446,             0.00018446
                      4,                0.38288,                0.98286,                 1.0071,                0.77065,                0.68287,                0.81264,                0.63638,                0.78272,                 1.4158,                 1.3742,             0.00021793,             0.00021793,             0.00021793
                      5,                0.38944,                 0.9873,                0.98614,                0.71745,                0.75185,                0.80196,                 0.6231,                0.66205,                 1.4465,                 1.2886,             0.00023556,             0.00023556,             0.00023556
                      6,                0.37511,                0.95162,                0.96155,                0.81701,                0.70145,                0.81371,                 0.6227,                0.63699,                 1.5071,                 1.2578,             0.00023735,             0.00023735,             0.00023735
                      7,                0.39016,                 0.9583,                0.99874,                0.77751,                0.77469,                0.83701,                0.63304,                0.66969,                  1.459,                 1.2801,              0.0002233,              0.0002233,              0.0002233
                      8,                 0.4338,                0.99897,                 1.0285,                0.73582,                0.80617,                0.82996,                0.62851,                0.69894,                 1.4811,                 1.3003,             0.00019341,             0.00019341,             0.00019341
                      9,                0.39253,                0.92274,                0.98316,                0.79161,                0.74108,                0.80791,                0.62646,                0.70277,                 1.6338,                 1.2833,             0.00014768,             0.00014768,             0.00014768
                     10,                0.37918,                  0.966,                  1.002,                0.78262,                0.75226,                 0.8155,                0.64665,                0.70215,                 1.6597,                 1.2773,              8.611e-05,              8.611e-05,              8.611e-05
